step,temp,press,KE,PE,E,Vol
2670,40804.2926,2052614.804,2747.946133,-85.83456438,2662.111569,5000
2680,40916.17904,2048904.861,2755.481074,-93.29926642,2662.181807,5000
2690,41117.18026,2044679.49,2769.017408,-109.0177295,2659.999678,5000
2700,41499.17569,1992400.637,2794.742712,-133.7242952,2661.018417,5000
2710,40224.59678,2003686.22,2708.906788,-46.03386986,2662.872918,5000
2720,41426.54614,2037880.464,2789.851509,-127.392203,2662.459306,5000
2730,40830.79432,2102348.328,2749.730879,-84.90227131,2664.828608,5000
2740,42459.05013,2030071.632,2859.38501,-195.5860946,2663.798916,5000
2750,41483.34472,2087193.744,2793.676583,-130.4127807,2663.263802,5000
2760,41047.94325,2082768.779,2764.354673,-103.4645921,2660.890081,5000
2770,41434.4143,2066990.669,2790.381387,-129.7694806,2660.611906,5000
2780,42408.95584,2017441.353,2856.011434,-196.5016752,2659.509759,5000
2790,41439.26656,2054191.198,2790.70816,-132.2848371,2658.423323,5000
2800,40796.34099,2083983.149,2747.410636,-88.17146068,2659.239175,5000
2810,40005.0818,2068536.048,2694.123653,-36.97923787,2657.144415,5000
2820,41546.93071,2001773.023,2797.958752,-139.5499943,2658.408758,5000
2830,41497.90493,2008599.262,2794.657134,-135.0441263,2659.613007,5000
2840,40381.03183,2068824.862,2719.441834,-61.54989607,2657.891938,5000
2850,40079.60382,2125033.283,2699.142304,-42.31836013,2656.823944,5000
2860,41662.27897,2063741.438,2805.726827,-148.0472082,2657.679619,5000
2870,41121.09314,2054727.205,2769.280919,-110.207759,2659.07316,5000
2880,41807.62286,2047151.797,2815.514944,-154.6450508,2660.869893,5000
2890,40944.69179,2072345.584,2757.401252,-95.61887787,2661.782374,5000
2900,40508.54998,2089806.415,2728.029484,-65.91319689,2662.116287,5000
2910,41114.5706,2059213.535,2768.841661,-111.3766104,2657.465051,5000
2920,40218.33958,2101825.208,2708.4854,-50.77051609,2657.714884,5000
2930,41596.75794,2090639.672,2801.314343,-144.8197767,2656.494567,5000
2940,40537.94283,2123008.064,2730.008932,-73.79946412,2656.209468,5000
2950,41612.22288,2087854.01,2802.355823,-147.0571092,2655.298714,5000
2960,41102.78851,2106299.802,2768.048202,-111.247853,2656.800349,5000
2970,41461.86475,2081414.374,2792.230025,-134.5820536,2657.647971,5000
2980,42224.39151,2037785.159,2843.582035,-184.4434151,2659.13862,5000
2990,41060.62164,2067350.804,2765.208494,-107.0868426,2658.121651,5000
3000,41474.98248,2080155.067,2793.113432,-134.1582563,2658.955176,5000
3010,40723.98932,2092769.832,2742.538146,-82.35913161,2660.179014,5000
3020,41530.36899,2044369.364,2796.843411,-132.1976104,2664.6458,5000
3030,40716.15635,2056290.993,2742.010639,-76.5258654,2665.484773,5000
3040,39827.00892,2094099.713,2682.131418,-16.92823991,2665.203178,5000
3050,40255.48317,2091239.01,2710.986817,-45.27819608,2665.708621,5000
3060,40497.63272,2067665.424,2727.294266,-58.8692606,2668.425006,5000
3070,41563.09886,2050466.01,2799.047589,-132.231433,2666.816156,5000
3080,40009.99927,2124331.156,2694.454818,-23.6374317,2670.817387,5000
3090,41451.37412,2084009.756,2791.523538,-118.9114834,2672.612054,5000
3100,41464.02363,2085571.519,2792.375413,-122.3840287,2669.991385,5000
3110,41160.01655,2082050.37,2771.902198,-103.3591847,2668.543013,5000
3120,41004.364,2053792.254,2761.419849,-93.38362511,2668.036224,5000
3130,42045.27859,1998199.518,2831.519758,-165.7725202,2665.747238,5000
3140,40505.13733,2036398.179,2727.799661,-58.70525413,2669.094406,5000
3150,40595.57155,2039406.159,2733.889912,-65.99159086,2667.898321,5000
3160,40939.96172,2030737.728,2757.082707,-88.98494776,2668.097759,5000
3170,39690.42903,2090765.618,2672.933509,-6.217703306,2666.715805,5000
3180,40646.68753,2079936.221,2737.332293,-70.3645134,2666.96778,5000
3190,40850.58004,2034957.547,2751.06334,-81.40705686,2669.656283,5000
3200,41525.22367,1984460.579,2796.496902,-126.9346391,2669.562262,5000
3210,40653.53296,2010206.155,2737.793296,-67.41995134,2670.373344,5000
3220,41235.18835,2017158.7,2776.964608,-106.0621063,2670.902501,5000
3230,39472.66156,2067745.567,2658.26806,15.47249417,2673.740554,5000
3240,40828.61563,2041142.152,2749.584156,-73.10874758,2676.475409,5000
3250,39780.13279,2103302.516,2678.974566,0.436113166,2679.410679,5000
